EV	EV Book	Imp	Player	Prop	O/U	FD	DK	MGM	BV	CZ	Kambi/BR	PN	bet365	ESPN	Circa
-2.1	-102 FD	50%	Mike Trout	hr	u 24.5	-120/-102	-	-	-125/-105	-	-	-	-105/-115	-	-
-2.1	-102 FD	50%	Julio Rodriguez	sb	u 26.5	-128/-102	-	-	-120/-110	-110/-110	-	-	-	-	-
-2.1	-8000 CZ	99%	COL	playoffs	u  	'+5500/-100000	'+3000/-10000	-	'+2000/-10000	1400/-8000	2500/-10000	-	-	-	-
-2.1	142 PN	41%	ATL	division	o  	'+135	'+110	-	-	125	135	142	-	-	-
-2.3	-120 CZ	55%	TEX	playoffs	o  	-132/+106	-125/+105	-	-135/+105	-120/100	-121/-103	-	-	-	-
-2.3	-110 MGM	52%	Riley Greene	hr	u 21.5	-105/-115	-	-120/-110	-115/-115	-	-	-	-	'+100/-125	-
-2.3	108 PN	48%	PHI	team_wins	o 91.5	-	'+100/-120	-	100/-130	-	-	108/-128	'+100/-130	-	-
-2.3	-130 BR	57%	MIL	playoffs	u  	'+106/-134	'+125/-150	-	100/-130	120/-140	105/-130	-	-	-	-
-2.3	-180 ESPN	64%	Elly De La Cruz	sb	o 49.5	-225	-190	-	-	-	-195	-	-	-180	-
-2.4	-105 DK	51%	Yordan Alvarez	hr	o 34.5	-	-105	-	-115/-115	-	-	-	-	-115/-115	-
-2.4	-105 MGM	51%	Yordan Alvarez	hr	u 33.5	-	-	-125/-105	-	-110/-110	-113/-113	-	-110/-110	-	-
-2.4	-105 365	51%	SD	team_wins	u 85.5	-	-110/-110	-110/-110	-115/-115	-110/-110	-	-110/-108	-115/-105	-	-
-2.4	-250 DK	71%	NYM	playoffs	o  	-280/+220	-250/+205	-	-260/+190	-325/250	-265/200	-	-	-	-
-2.4	-105 MGM	51%	Mark Vientos	hr	o 28.5	-110/-110	-	-105/-125	-115/-115	-	-	-	-	-115/-115	-
-2.4	-105 BV	51%	Marcell Ozuna	rbi	u 91.5	-	-	-	-125/-105	-110/-110	-110/-110	-	-	-	-
-2.4	-105 FD	51%	Junior Caminero	hr	u 23.5	-115/-105	-	-110/-120	-	-	-	-	-115/-105	-	-
-2.4	-105 FD	51%	Jose Ramirez	hr	o 28.5	-105/-115	-	-	-	-110/-110	-	-	-110/-110	-	-
-2.4	125 CZ	44%	CLE	playoffs	o  	'+114/-140	'+120/-145	-	'+115/-150	125/-145	115/-148	-	-	-	-
-2.4	-105 FD	51%	Anthony Santander	hr	o 31.5	-105/-115	-	-	-115/-115	-	-	-	-110/-110	-	-
-2.5	-120 BV	55%	Michael Toglia	hr	o 23.5	-	-	-	-120/-110	-125/105	-	-	-130/+100	-	-
-2.5	-110 365	52%	Matt Olson	hr	o 33.5	-115/-105	-	-	-120/-110	-	-	-	-110/-110	-	-
-2.5	-110 CZ	52%	Matt Olson	hr	u 32.5	-	-	-	-	-110/-110	-108/-118	-	-	-110/-120	-
-2.5	-110 BR	52%	Marcell Ozuna	rbi	o 91.5	-	-	-	-125/-105	-110/-110	-110/-110	-	-	-	-
-2.5	-110 MGM	52%	Junior Caminero	hr	o 23.5	-115/-105	-	-110/-120	-	-	-	-	-115/-105	-	-
-2.5	-110 365	52%	Juan Soto	h	u 154.5	-	-	-110/-120	-110/-120	-	-	-	-110/-110	-	-
-2.5	-110 MGM	52%	James Wood	hr	u 17.5	'+100/-122	-	-120/-110	-	-110/-110	-	-	-105/-115	-	-
-2.5	-110 CZ	52%	CHC	team_wins	o 86.5	-	-	-115/-105	-125/-105	-110/-110	-	-	-110/-110	-	-
-2.5	-110 MGM	52%	ATL	team_wins	o 93.5	-	-120/+100	-110/-110	-115/-115	-	-	-	-115/-105	-	-
-2.6	-109 PN	52%	STL	team_wins	o 76.5	-	-	-115/-105	-120/-110	-	-110/-110	-109/-109	-115/-105	-	-
-2.6	100 365	50%	Ketel Marte	hr	u 25.5	-115/-105	-	-120/-110	-	-110/-110	-	-	-130/+100	-125/+100	-
-2.6	-115 FD	53%	Juan Soto	hr	u 33.5	-105/-115	-	-105/-125	-	100/-120	-	-	-	-	-
-2.6	-115 FD	53%	Fernando Tatis	hr	u 30.5	-105/-115	-	-105/-125	-115/-115	105/-125	-	-	'+100/-130	-	-
-2.7	-120 DK	55%	MIA	team_wins	u 63.5	-	'+100/-120	-	100/-130	-	-	-	'+100/-130	-	-
-2.7	-6000 BV	98%	MIA	playoffs	u  	'+2500/-10000	'+2000/-10000	-	'+1800/-6000	2200/-15000	2000/-10000	-	-	-	-
-2.8	-115 MGM	53%	Rafael Devers	hr	u 30.5	-	-	-115/-115	-	-	-	-	-105/-115	'+100/-125	-
-2.8	-115 MGM	53%	LAD	team_wins	o 104.5	-	-	-115/-105	-125/-105	-120/100	-121/-103	-	-	-	-
-2.8	-115 BV	53%	Jake Burger	hr	u 26.5	-	-	-	-115/-115	-105/-115	-	-	-	'+100/-125	-
-2.8	-110 FD	52%	Brent Rooker	hr	u 34.5	-110/-110	-	'+100/-125	-	-	-112/-112	-	-	-115/-115	-
-2.9	-105 CZ	51%	Julio Rodriguez	hr	u 25.5	-114/-106	-	-	-	-115/-105	-113/-113	-	-110/-110	-	-
-3.0	-110 CZ	52%	Yordan Alvarez	hr	o 33.5	-	-	-125/-105	-	-110/-110	-113/-113	-	-110/-110	-	-
-3.0	-1300 CZ	93%	WSH	playoffs	u  	'+980/-2500	'+850/-1400	-	'+750/-1900	700/-1300	850/-2000	-	-	-	-
-3.0	-475 DK	83%	PIT	playoffs	u  	'+440/-650	'+360/-475	-	'+375/-600	380/-525	325/-480	-	-	-	-
-3.0	-110 DK	52%	NYM	team_wins	u 90.5	-	-110/-110	'+100/-120	-110/-120	-	-112/-112	-	-110/-110	-	-
-3.0	-110 CZ	52%	Mark Vientos	rbi	o 89.5	-	-125	-	-	-110/-110	-	-	-110/-110	-	-
-3.0	-110 BR	52%	HOU	team_wins	u 86.5	-	-	-110/-110	-115/-115	-110/-110	-110/-110	104/-123	-	-	-
-3.0	-110 MGM	52%	Francisco Lindor	hr	u 27.5	-105/-115	-	-120/-110	-105/-125	-	-	-	-110/-110	-115/-115	-
-3.0	-105 FD	51%	Francisco Lindor	hr	o 27.5	-105/-115	-	-120/-110	-105/-125	-	-	-	-110/-110	-115/-115	-
-3.0	-110 365	52%	Dylan Cease	k	u 205.5	-113/-113	-	'+100/-125	-110/-120	-	-	-	-110/-110	-115/-115	-
-3.0	-140 FD	58%	CLE	playoffs	u  	'+114/-140	'+120/-145	-	'+115/-150	125/-145	115/-148	-	-	-	-
-3.2	-250 DK	71%	SF	playoffs	u  	'+225/-290	'+205/-250	-	'+200/-275	200/-255	205/-265	-	-	-	-
-3.2	-105 CZ	51%	Kerry Carpenter	hr	u 20.5	-	-	-115/-115	-	-115/-105	-	-	-115/-105	-115/-115	-
-3.3	225 FD	31%	SF	playoffs	o  	'+225/-290	'+205/-250	-	'+200/-275	200/-255	205/-265	-	-	-	-
-3.3	-110 FD	52%	Mark Vientos	hr	u 28.5	-110/-110	-	-105/-125	-115/-115	-	-	-	-	-115/-115	-
-3.3	-110 FD	52%	Lawrence Butler	hr	o 23.5	-110/-110	-	-115/-115	-	-120/100	-	-	-110/-110	-	-
-3.3	-110 365	52%	Julio Rodriguez	hr	o 25.5	-114/-106	-	-	-	-115/-105	-113/-113	-	-110/-110	-	-
-3.3	-115 365	53%	Corbin Carroll	sb	o 38.5	-120/-106	-	-	-125/-105	-	-	-	-115/-105	-	-
-3.4	106 FD	49%	TEX	playoffs	u  	-132/+106	-125/+105	-	-135/+105	-120/100	-121/-103	-	-	-	-
-3.4	-112 BR	53%	Rafael Devers	hr	u 29.5	-105/-115	-	-	-110/-120	-	-112/-112	-	-	-	-
-3.5	-105 MGM	51%	STL	team_wins	u 76.5	-	-	-115/-105	-120/-110	-	-110/-110	-109/-109	-115/-105	-	-
-3.5	-105 FD	51%	Matt Olson	hr	u 33.5	-115/-105	-	-	-120/-110	-	-	-	-110/-110	-	-
-3.5	-110 CZ	52%	Kerry Carpenter	rbi	u 70.5	-	-	-	-110/-120	-110/-110	-	-	-110/-110	-	-
-3.5	100 CZ	50%	Juan Soto	hr	o 33.5	-105/-115	-	-105/-125	-	100/-120	-	-	-	-	-
-3.5	-110 CZ	52%	Jose Ramirez	hr	u 28.5	-105/-115	-	-	-	-110/-110	-	-	-110/-110	-	-
-3.5	184 PN	35%	HOU	division	o  	'+180	'+125	-	-	180	175	184	-	-	-
-3.5	-110 CZ	52%	Eugenio Suarez	rbi	o 79.5	-	-120	-	-	-110/-110	-	-	-110/-110	-	-
-3.5	-110 FD	52%	Austin Riley	hr	o 30.5	-110/-110	-	-	-	-120/100	-113/-113	-	-110/-110	-115/-115	-
-3.5	-110 365	52%	Anthony Santander	hr	u 31.5	-105/-115	-	-	-115/-115	-	-	-	-110/-110	-	-
-3.5	-115 365	53%	Aaron Judge	hr	u 48.5	-	-	-105/-125	-110/-120	-	-	-	-105/-115	-105/-120	-
-3.6	440 FD	19%	PIT	playoffs	o  	'+440/-650	'+360/-475	-	'+375/-600	380/-525	325/-480	-	-	-	-
-3.7	100 CZ	50%	LAD	team_wins	u 104.5	-	-	-115/-105	-125/-105	-120/100	-121/-103	-	-	-	-
-3.8	125 DK	44%	Francisco Lindor	hr	o 29.5	'+116	'+125	-	-	-	-	-	-	'+115	-
-3.8	-105 MGM	51%	CHC	team_wins	u 86.5	-	-	-115/-105	-125/-105	-110/-110	-	-	-110/-110	-	-
-4.0	-110 MGM	52%	SD	team_wins	o 85.5	-	-110/-110	-110/-110	-115/-115	-110/-110	-	-110/-108	-115/-105	-	-
-4.1	-115 CZ	53%	Bobby Witt	sb	o 32.5	-120/-106	-	-	-	-115/-105	-	-	-115/-105	-	-
-4.2	100 FD	50%	Vladimir Guerrero	hr	u 30.5	-122/+100	-	-	-	-120/100	-	-	-115/-105	-125/+100	-
-4.2	300 ESPN	25%	Jarren Duran	sb	o 39.5	'+265	'+240	-	-	-	-	-	-	'+300	-
-4.2	-104 FD	51%	Jarren Duran	hr	o 18.5	-104/-118	-	-105/-125	-	-	-	-	-110/-110	-	-
-4.3	150 FD	40%	Triston Casas	hr	o 29.5	'+150	'+125	-	-	-	-	-	-	'+150	-
-4.5	-110 365	52%	Zac Gallen	k	u 163.5	-113/-113	-	-115/-115	-	-	-	-	-110/-110	-115/-115	-
-4.5	-110 365	52%	Zac Gallen	k	o 163.5	-113/-113	-	-115/-115	-	-	-	-	-110/-110	-115/-115	-
-4.5	-110 365	52%	Yusei Kikuchi	k	u 176.5	-113/-113	-	-115/-115	-	-	-	-	-110/-110	-	-
-4.5	-110 365	52%	Yusei Kikuchi	k	o 176.5	-113/-113	-	-115/-115	-	-	-	-	-110/-110	-	-
-4.5	-110 BR	52%	Shohei Ohtani	hr	u 41.5	-110/-110	-	-	-	-110/-110	-110/-110	-	-	-115/-115	-
-4.5	-110 BR	52%	Shohei Ohtani	hr	o 41.5	-110/-110	-	-	-	-110/-110	-110/-110	-	-	-115/-115	-
-4.5	-110 FD	52%	Seiya Suzuki	hr	u 19.5	-110/-110	-	-	-115/-115	-110/-110	-	-	-110/-110	-	-
-4.5	-110 CZ	52%	Riley Greene	rbi	u 76.5	-	-	-	-115/-115	-110/-110	-	-	-110/-110	-	-
-4.5	-110 CZ	52%	Riley Greene	rbi	o 76.5	-	-	-	-115/-115	-110/-110	-	-	-110/-110	-	-
-4.5	-110 BR	52%	Marcell Ozuna	hr	u 31.5	-	-	-115/-115	-120/-110	-105/-115	-110/-110	-	-	-	-
-4.5	-110 CZ	52%	Kyle Tucker	rbi	u 90.5	-	-	-	-115/-115	-110/-110	-	-	-110/-110	-	-
-4.5	-110 CZ	52%	Kyle Tucker	rbi	o 90.5	-	-	-	-115/-115	-110/-110	-	-	-110/-110	-	-
-4.5	-110 BV	52%	Kerry Carpenter	rbi	o 70.5	-	-	-	-110/-120	-110/-110	-	-	-110/-110	-	-
-4.5	-110 CZ	52%	Cj Abrams	hr	u 17.5	-	-	-	-115/-115	-110/-110	-	-	-110/-110	-	-
-4.5	-110 CZ	52%	Cj Abrams	hr	o 17.5	-	-	-	-115/-115	-110/-110	-	-	-110/-110	-	-
-4.5	-110 FD	52%	Bryce Harper	hr	o 27.5	-110/-110	-	-	-110/-120	-	-	-	-115/-105	-	-
-4.5	110 ESPN	48%	Brice Turang	sb	o 39.5	'+104	'+105	-	-	-	-	-	-	'+110	-
-4.6	200 BR	33%	TB	playoffs	o  	'+184/-230	'+180/-220	-	'+180/-245	200/-250	200/-265	-	-	-	-
-4.8	235 BR	30%	PHI	playoffs	u  	-300/+235	-265/+220	-	-300/+220	-250/200	-335/235	-	-	-	-
-4.8	240 DK	29%	NYM	division	o  	'+210	'+240	-	-	210	200	220	-	-	-
-4.8	-108 BR	52%	Matt Olson	hr	o 32.5	-	-	-	-	-110/-110	-108/-118	-	-	-110/-120	-
-4.9	-105 MGM	51%	Aaron Judge	hr	o 48.5	-	-	-105/-125	-110/-120	-	-	-	-105/-115	-105/-120	-
-5.2	-113 FD	53%	Logan Webb	k	o 159.5	-113/-113	-125	-115/-115	-	-	-	-	-	-115/-115	-
-5.2	-105 BV	51%	Corbin Carroll	sb	u 38.5	-120/-106	-	-	-125/-105	-	-	-	-115/-105	-	-
-5.2	-105 CZ	51%	Bobby Witt	sb	u 32.5	-120/-106	-	-	-	-115/-105	-	-	-115/-105	-	-
-5.3	-115 MGM	53%	Kerry Carpenter	hr	o 20.5	-	-	-115/-115	-	-115/-105	-	-	-115/-105	-115/-115	-
-5.6	240 ESPN	29%	Matt Olson	hr	o 39.5	'+230	'+195	-	-	-	-	-	-	'+240	-
-5.6	200 FD	33%	Juan Soto	hr	o 39.5	'+200	'+165	-	-	-	-	-	-	'+200	-
-5.6	-110 MGM	52%	Juan Soto	h	o 154.5	-	-	-110/-120	-110/-120	-	-	-	-110/-110	-	-
-5.6	-132 FD	57%	Bobby Witt	hr	o 29.5	-132	-135	-	-	-	-	-	-	-135	-
-5.7	100 BV	50%	MIA	team_wins	o 63.5	-	'+100/-120	-	100/-130	-	-	-	'+100/-130	-	-
-5.8	-113 FD	53%	Luis Castillo	k	u 170.5	-113/-113	-	-115/-115	-	-	-	-	-	-115/-115	-
-5.8	-113 FD	53%	Luis Castillo	k	o 170.5	-113/-113	-	-115/-115	-	-	-	-	-	-115/-115	-
-5.8	-113 FD	53%	Logan Webb	k	u 159.5	-113/-113	-	-115/-115	-	-	-	-	-	-115/-115	-
-5.8	-113 FD	53%	Freddy Peralta	k	u 185.5	-113/-113	-	-115/-115	-115/-115	-	-	-	-	-115/-115	-
-5.8	-113 FD	53%	Freddy Peralta	k	o 185.5	-113/-113	-	-115/-115	-115/-115	-	-	-	-	-115/-115	-
-5.9	390 FD	20%	NYY	league	o  	'+390	'+330	-	'+350	300	300	318	-	-	-
-5.9	290 DK	26%	LAD	world_series	o  	'+240	'+290	-	'+250	230	260	275	-	-	-
-6.1	200 FD	33%	Aaron Nola	k	o 199.5	'+200	'+180	-	-	-	185	-	-	-	-
-6.2	360 FD	22%	Nico Hoerner	sb	o 39.5	'+360	'+260	-	-	-	-	-	-	'+350	-
-6.3	110 FD	48%	Aaron Judge	hr	o 49.5	'+110	'+105	-	-	-	-	-	-	'+110	-
-6.4	420 FD	19%	Julio Rodriguez	sb	o 39.5	'+420	'+330	-	-	-	-	-	-	'+350	-
-6.7	270 DK	27%	ATL	playoffs	u  	-340/+250	-400/+270	-	-370/+260	-300/240	-335/240	-	-	-	-
-7.0	294 PN	25%	DET	division	o  	'+250	'+270	-	-	255	250	294	-	-	-
-7.2	215 FD	32%	Jackson Merrill	hr	o 29.5	'+215	'+195	-	-	-	-	-	-	'+200	-
-7.3	216 PN	32%	PHI	division	o  	'+180	'+215	-	-	200	200	216	-	-	-
-7.3	298 PN	25%	BAL	division	o  	'+270	'+270	-	-	250	250	298	-	-	-
-7.6	383 PN	21%	BOS	division	o  	'+270	'+350	-	-	300	375	383	-	-	-
-8.3	650 DK	13%	CIN	division	o  	'+490	'+650	-	-	500	450	473	-	-	-
-8.6	210 FD	32%	MIN	division	o  	'+210	'+210	-	-	190	200	189	-	-	-
-8.8	325 CZ	24%	KC	division	o  	'+280	'+270	-	-	325	300	289	-	-	-
-9.0	164 FD	38%	Ketel Marte	hr	o 29.5	'+164	'+160	-	-	-	-	-	-	'+160	-
-9.5	400 FD	20%	Willson Contreras	hr	o 29.5	'+400	'+290	-	-	-	-	-	-	'+400	-
-11.1	275 BR	27%	Shohei Ohtani	h	o 199.5	-	'+260	-	'+250	-	275	-	-	-	-
-11.4	195 BR	34%	Bobby Witt	h	o 199.5	-	'+195	-	'+190	-	195	-	-	-	-
-12.5	900 DK	10%	LAA	playoffs	o  	'+710/-1250	'+900/-1800	-	'+650/-1400	575/-850	800/-1667	-	-	-	-
-12.7	200 BR	33%	Roki Sasaki	roty	o  	-	-	-	-	200	200	200	-	-	-
-13.6	324 PN	24%	Paul Skenes	cy_young	o  	-	-	-	-	300	300	324	-	-	-
-14.0	400 BR	20%	Dylan Crews	roty	o  	-	-	-	-	350	400	361	-	-	-
-14.1	450 BR	18%	Jasson Dominguez	roty	o  	-	-	-	-	400	450	377	-	-	-
-14.3	303 PN	25%	Aaron Judge	mvp	o  	-	-	-	-	300	275	303	-	-	-
-14.4	320 DK	24%	Freddie Freeman	h	o 199.5	-	'+320	-	'+300	-	300	-	-	-	-
-14.6	425 CZ	19%	Paul Skenes	k_leader	o  	'+350	'+400	-	-	425	-	-	-	-	-
-15.5	340 FD	23%	Cody Bellinger	hr	o 29.5	'+340	'+340	-	-	-	-	-	-	'+300	-
-16.4	454 PN	18%	Bobby Witt	mvp	o  	-	-	-	-	400	400	454	-	-	-
-16.5	400 BR	20%	Rafael Devers	h	o 199.5	-	'+370	-	'+360	-	400	-	-	-	-
-16.6	350 BR	22%	Jose Altuve	h	o 199.5	-	'+330	-	'+330	-	350	-	-	-	-
-16.8	311 PN	24%	CLE	division	o  	'+310	'+300	-	-	300	300	311	-	-	-
-17.1	550 FD	15%	ATL	league	o  	'+550	'+425	-	'+500	475	450	468	-	-	-
-17.6	607 PN	14%	Garrett Crochet	cy_young	o  	-	-	-	-	450	550	607	-	-	-
-18.5	560 FD	15%	Trea Turner	sb	o 39.5	'+560	'+500	-	-	-	-	-	-	'+450	-
-19.7	360 DK	22%	Steven Kwan	h	o 199.5	-	'+360	-	'+350	-	350	-	-	-	-
-19.7	360 DK	22%	Seiya Suzuki	hr	o 29.5	'+350	'+360	-	-	-	-	-	-	'+350	-
-19.7	450 BR	18%	Ketel Marte	h	o 199.5	-	'+425	-	'+400	-	450	-	-	-	-
-20.4	370 BV	21%	Jose Ramirez	h	o 199.5	-	'+370	-	'+370	-	350	-	-	-	-
-20.9	460 FD	18%	Francisco Lindor	sb	o 39.5	'+460	'+400	-	-	-	-	-	-	'+450	-
-21.4	350 BR	22%	Mookie Betts	h	o 199.5	-	'+350	-	'+350	-	350	-	-	-	-
-21.9	425 BR	19%	Matt Shaw	roty	o  	-	-	-	-	400	425	411	-	-	-
-22.3	400 BR	20%	Elly De La Cruz	h	o 199.5	-	'+400	-	'+380	-	400	-	-	-	-
-22.9	5500 FD	2%	COL	playoffs	o  	'+5500/-100000	'+3000/-10000	-	'+2000/-10000	1400/-8000	2500/-10000	-	-	-	-
-25.5	980 FD	9%	WSH	playoffs	o  	'+980/-2500	'+850/-1400	-	'+750/-1900	700/-1300	850/-2000	-	-	-	-
-26.2	600 DK	14%	Shohei Ohtani	hr_leader	o  	'+500	'+600	-	-	575	-	-	-	-	-
-27.6	450 BR	18%	Kyle Tucker	h	o 199.5	-	'+450	-	'+450	-	450	-	-	-	-
-29.5	800 FD	11%	HOU	league	o  	'+800	'+650	-	'+750	700	600	593	-	-	-
-30.9	950 DK	10%	Tarik Skubal	k_leader	o  	'+600	'+950	-	-	900	-	-	-	-	-
-31.6	850 FD	11%	Garrett Crochet	k_leader	o  	'+850	'+800	-	-	600	-	-	-	-	-
-32.4	750 CZ	12%	Roman Anthony	roty	o  	-	-	-	-	750	700	602	-	-	-
-32.8	802 PN	11%	Kristian Campbell	roty	o  	-	-	-	-	650	700	802	-	-	-
-32.9	695 PN	13%	PHI	league	o  	'+600	'+650	-	'+650	625	600	695	-	-	-
-33.3	600 BR	14%	Juan Soto	mvp	o  	-	-	-	-	600	600	552	-	-	-
-33.7	1200 BR	8%	Jackson Jobe	roty	o  	-	-	-	-	800	1200	848	-	-	-
-35.6	700 FD	12%	NYM	league	o  	'+700	'+700	-	'+650	600	650	624	-	-	-
-35.6	1034 PN	9%	ARI	division	o  	'+1000	'+550	-	-	750	1000	1034	-	-	-
-35.7	800 BR	11%	Yordan Alvarez	mvp	o  	-	-	-	-	800	800	605	-	-	-
-36.1	650 FD	13%	BAL	league	o  	'+650	'+650	-	'+600	650	600	603	-	-	-
-39.0	900 DK	10%	BOS	league	o  	'+800	'+900	-	'+700	650	800	851	-	-	-
-40.3	2515 PN	4%	Max Fried	cy_young	o  	-	-	-	-	1600	800	2515	-	-	-
-41.2	800 BR	11%	Gunnar Henderson	mvp	o  	-	-	-	-	700	800	755	-	-	-
-43.2	1200 BR	8%	STL	division	o  	'+850	'+600	-	-	1200	1200	1101	-	-	-
-44.1	1004 PN	9%	PIT	division	o  	'+1000	'+700	-	-	1000	700	1004	-	-	-
-44.9	1000 CZ	9%	Chris Sale	cy_young	o  	-	-	-	-	1000	800	862	-	-	-
-45.1	850 BR	11%	Fernando Tatis	mvp	o  	-	-	-	-	800	850	752	-	-	-
-45.2	1022 PN	9%	TEX	league	o  	'+800	'+900	-	'+850	800	850	1022	-	-	-
-45.4	1400 DK	7%	Dylan Cease	k_leader	o  	'+700	'+1400	-	-	1400	-	-	-	-	-
-45.7	2000 BR	5%	LAD	playoffs	u  	-8000/+1800	-2500/+1300	-	-10000/+1400	-5000/1500	-10000/2000	-	-	-	-
-45.9	1000 BR	9%	TB	division	o  	'+700	'+750	-	-	1000	1000	969	-	-	-
-47.3	800 BR	11%	Zack Wheeler	cy_young	o  	-	-	-	-	800	800	741	-	-	-
-50.3	950 CZ	10%	ATL	world_series	o  	'+900	'+750	-	'+850	950	850	925	-	-	-
-50.5	900 FD	10%	NYY	world_series	o  	'+900	'+850	-	'+900	900	725	817	-	-	-
-50.8	1200 CZ	8%	Jacob Wilson	roty	o  	-	-	-	-	1200	1100	802	-	-	-
-53.0	1300 DK	7%	TOR	division	o  	'+1000	'+1300	-	-	1100	900	901	-	-	-
-55.2	1000 CZ	9%	Cole Ragans	cy_young	o  	-	-	-	-	1000	900	910	-	-	-
-55.3	1082 PN	8%	SD	division	o  	'+950	'+1000	-	-	1000	800	1082	-	-	-
-56.3	1000 BR	9%	Bubba Chandler	roty	o  	-	-	-	-	950	1000	879	-	-	-
-59.3	1400 BR	7%	Coby Mayo	roty	o  	-	-	-	-	900	1400	1205	-	-	-
-62.3	1721 PN	5%	Framber Valdez	cy_young	o  	-	-	-	-	1400	900	1721	-	-	-
-63.9	2500 FD	4%	MIA	playoffs	o  	'+2500/-10000	'+2000/-10000	-	'+1800/-6000	2200/-15000	2000/-10000	-	-	-	-
-68.0	1100 CZ	8%	Blake Snell	cy_young	o  	-	-	-	-	1100	1000	1077	-	-	-
-68.4	1300 BR	7%	MIN	league	o  	'+1000	'+1000	-	'+1100	1200	1300	1124	-	-	-
-69.3	2006 PN	5%	Elly De La Cruz	mvp	o  	-	-	-	-	1400	1000	2006	-	-	-
-69.8	1313 PN	7%	PHI	world_series	o  	'+1000	'+1200	-	'+1100	1200	1000	1313	-	-	-
-70.0	1300 DK	7%	Blake Snell	k_leader	o  	'+1000	'+1300	-	-	1200	-	-	-	-	-
-70.5	1275 PN	7%	Corbin Burnes	cy_young	o  	-	-	-	-	1000	1200	1275	-	-	-
-70.9	1303 PN	7%	Logan Gilbert	cy_young	o  	-	-	-	-	1100	1100	1303	-	-	-
-71.1	1300 BR	7%	SEA	league	o  	'+1000	'+1100	-	'+1100	1200	1300	1124	-	-	-
-72.1	1200 DK	8%	Kyle Schwarber	hr_leader	o  	'+1000	'+1200	-	-	1200	-	-	-	-	-
-76.4	1400 CZ	7%	Jacob Degrom	cy_young	o  	-	-	-	-	1400	1200	1115	-	-	-
-76.5	1400 FD	7%	SD	league	o  	'+1400	'+1300	-	'+1000	1400	1200	987	-	-	-
-76.8	1238 PN	7%	NYM	world_series	o  	'+1100	'+1200	-	'+1100	1100	1200	1238	-	-	-
-77.9	1500 BR	6%	Jordan Lawlar	roty	o  	-	-	-	-	1200	1500	1156	-	-	-
-80.7	1600 CZ	6%	Jose Ramirez	mvp	o  	-	-	-	-	1600	1000	1511	-	-	-
-81.4	1328 PN	7%	DET	league	o  	'+1000	'+1300	-	'+1100	1300	1300	1328	-	-	-
-84.5	1203 PN	8%	Mookie Betts	mvp	o  	-	-	-	-	1200	1200	1203	-	-	-
-87.4	1511 PN	6%	Corey Seager	mvp	o  	-	-	-	-	1200	1300	1511	-	-	-
-89.7	1800 CZ	5%	Will Wagner	roty	o  	-	-	-	-	1800	1500	1105	-	-	-
-90.8	1400 FD	7%	CLE	league	o  	'+1400	'+1400	-	'+1400	1300	1000	1328	-	-	-
-98.0	1600 BV	6%	ARI	league	o  	'+1500	'+1300	-	'+1600	1200	1200	1449	-	-	-
